id,name,slug,visible,productType,sku,price,currency,formattedPrice,description,categories,options,variants,customTextFields,ribbons,productPageUrl,lastUpdated,localImages,imageUrls
5060388f-c2f1-abd4-6100-b6091dc40ba9,2025-2026 MBMA Yearbook,2025-2026-mbma-yearbook,False,physical,,30,USD,$30.00,Purchase this year's '25-'26 MBMA Yearbook $30 Yearbooks will be distributed on June 4th to your child's classroom.,,,default@30,"Please tell us your Child's FIRST and LAST Name* | What Classroom in your child in?  (if you have more than one child, room of OLDEST)*",BUY NOW $30,https://www.mbmapg.org/product-page/2025-2026-mbma-yearbook,2026-08-14T22:21:15.457Z,2025-2026-mbma-yearbook.png,"https://static.wixstatic.com/media/ae91bf_a4ef8bcd99cf4f478b764d2391a61a1c~mv2.png/v1/fit/w_12788,h_16356,q_90/file.png"
5ed5b5a8-b863-2a01-31ab-38e6cb718c02,Jog-A-Thon 2026 Tee - Adult,jog-a-thon-2026-tee-adult,False,physical,,15,USD,$15.00,,Apparel,Size: Small|Medium|Large|X-Large|XXL,Size=Small@15; Size=Medium@15; Size=Large@15; Size=X-Large@15; Size=XXL@15,Student Info- First Last Name- Room#*,,https://www.mbmapg.org/product-page/jog-a-thon-2026-tee-adult,2026-06-07T21:16:18.490Z,jog-a-thon-2026-tee-adult.jpg,"https://static.wixstatic.com/media/ae91bf_dc75ac694c46442aaeb8d30976a3d707~mv2.jpg/v1/fit/w_2250,h_2781,q_90/file.jpg"
b08bb51a-ee1a-ae7c-6dbf-c23bda342966,Jog-A-Thon 2026 Tee - Youth,jog-a-thon-2026-shirt-youth,False,physical,,10,USD,$10.00,,Apparel,Size: X-Small|Small|Medium|Large|X-Large,Size=X-Small@10; Size=Small@10; Size=Medium@10; Size=Large@10; Size=X-Large@10,Student Info- First Last Name- Room#*,,https://www.mbmapg.org/product-page/jog-a-thon-2026-shirt-youth,2026-06-07T21:16:19.335Z,jog-a-thon-2026-tee-youth.jpg,"https://static.wixstatic.com/media/ae91bf_dc75ac694c46442aaeb8d30976a3d707~mv2.jpg/v1/fit/w_2250,h_2781,q_90/file.jpg"
dc5bb6c4-8177-69e0-4906-44336b6e9cf7,2026 Jog-A-Thon Sponsorship,2026-jog-a-thon-sponsorship,False,physical,,50,USD,$50.00,"Please enter a name for donation. We will use this name/entry when creating signs to thank you for your donation. (Use Last Name, The XXX Family, Company Name, etc.) Please email company logos in PNG format to arnaz.khambatta@mbmapg.org",,Sponsorship Level: Trot|Jog|Run|Sprint,Sponsorship Level=Trot@50; Sponsorship Level=Jog@150; Sponsorship Level=Run@250; Sponsorship Level=Sprint@500,Name for Donation*,,https://www.mbmapg.org/product-page/2026-jog-a-thon-sponsorship,2026-03-30T16:39:15.585Z,2026-jog-a-thon-sponsorship.png | 2026-jog-a-thon-sponsorship-2.png | 2026-jog-a-thon-sponsorship-3.png | 2026-jog-a-thon-sponsorship-4.png | 2026-jog-a-thon-sponsorship-5.png,"https://static.wixstatic.com/media/ae91bf_b91a9d49648b441791a81bdc494e3701~mv2.png/v1/fit/w_1728,h_2304,q_90/file.png | https://static.wixstatic.com/media/ae91bf_aa67039d26f84866ae5d8295edc74694~mv2.png/v1/fit/w_500,h_500,q_90/file.png | https://static.wixstatic.com/media/ae91bf_8f6a757446f843639cf82c207882baac~mv2.png/v1/fit/w_500,h_500,q_90/file.png | https://static.wixstatic.com/media/ae91bf_19a9a4c0155b45da83d0a2b1d244b8b7~mv2.png/v1/fit/w_500,h_500,q_90/file.png | https://static.wixstatic.com/media/ae91bf_36e55dc5303f4eaaa231dfc5490fb5d4~mv2.png/v1/fit/w_500,h_500,q_90/file.png"
a396a4c4-66fe-ba1c-69b9-f943e93495bc,2025 Halloween Carnival Admission - Last Chance,2025-halloween-carnival-admission-lazy-bird,False,physical,LASTCHANCE25,50,USD,$50.00,Pre-Sale Halloween Carnival Wristbands. Every child must have a wristband to enter the carnival. Adults and Children under 2 are free. LAST CHANCE TICKETS until Oct 23rd to receive 10 free prize tickets. Online purchase ended Oct 23rd; day-of tickets $60 with no prize tickets.,,Classroom: K1|K2|K4|RM02|RM04|RM06|RM07|RM08|RM11|Alumni or Non-MBMA student,default@50(sku:LASTCHANCE25),Student Name*,,https://www.mbmapg.org/product-page/2025-halloween-carnival-admission-lazy-bird,2025-10-24T15:13:34.540Z,2025-halloween-carnival-admission-last-chance.png,"https://static.wixstatic.com/media/ae91bf_ee10c5c6523e4d97b523449f52187a2a~mv2.png/v1/fit/w_1080,h_1080,q_90/file.png"
22172069-3a03-fe32-41b3-058ea41f064a,Friday Fuel Coffee Cart,friday-fuel-coffee-cart,False,physical,,45,USD,$45.00,Kickstart parents' and teachers' Fridays by sponsoring the Friday Fuel Coffee Cart! Nespresso Vertuo pods for cafe-quality coffee to fuel the MBMA community.,,,default@45,,,https://www.mbmapg.org/product-page/friday-fuel-coffee-cart,2026-03-12T17:08:07.049Z,friday-fuel-coffee-cart.png,"https://static.wixstatic.com/media/ae91bf_fe0254d8cf5745f4a25ca5cce39dac40~mv2.png/v1/fit/w_1200,h_1200,q_90/file.png"
5bcab5ae-166d-7eb7-0f76-cf14623d4e4f,Halloween Carnival Face Painters,halloween-carnival-face-painters,False,physical,,400,USD,$400.00,"Sponsor carnival Face Painters — transforms kids into spooky ghosts, playful animals, and festive characters.",,,default@400,,,https://www.mbmapg.org/product-page/halloween-carnival-face-painters,2025-12-03T23:12:41.323Z,halloween-carnival-face-painters.png,"https://static.wixstatic.com/media/ae91bf_c7fc94e74cdf483f90c83fe40a0a605f~mv2.png/v1/fit/w_1080,h_1080,q_90/file.png"
51e87c59-2d87-e241-19e9-f9fe0d382b89,Halloween Carnival Balloon Artist,halloween-carnival-balloon-artist,False,physical,,300,USD,$300.00,Sponsor carnival Balloon Artist — creative colorful designs for kids and festive spirit.,,,default@300,,,https://www.mbmapg.org/product-page/halloween-carnival-balloon-artist,2026-09-21T15:26:44.658Z,halloween-carnival-balloon-artist.png,"https://static.wixstatic.com/media/ae91bf_b913df3770484e0b864a69ef9281770c~mv2.png/v1/fit/w_1080,h_1080,q_90/file.png"
3a9c2c4d-e29d-f18b-fe5a-8088ec25ac8e,2025 Halloween Carnival Admission - Early Bird,halloween-carnival-admission-2025,False,physical,EARLYBIRD25,40,USD,$40.00,Pre-Sale Halloween Carnival Wristbands. Early Bird until Oct 17th to receive 10 free prize tickets; then Lazy Bird @ $50.,,Classroom: K1|K2|K4|RM02|RM04|RM06|RM07|RM08|RM11|Alumni or Non-MBMA student,default@40(sku:EARLYBIRD25),Student Name*,,https://www.mbmapg.org/product-page/halloween-carnival-admission-2025,2025-12-03T23:12:46.954Z,2025-halloween-carnival-admission-early-bird.png,"https://static.wixstatic.com/media/ae91bf_099d7e71d6204135af61edf79d860deb~mv2.png/v1/fit/w_1080,h_1080,q_90/file.png"
084d8888-e92d-c4f3-09e2-68b5539cbd33,Staff & Teacher Appreciation Week,staff-teacher-appreciation-week,False,physical,,50,USD,$50.00,Please enter a name for donation.,,Sponsorship Level: Level 1|Level 2|Level 3|Level 4,Sponsorship Level=Level 1@50; Sponsorship Level=Level 2@150; Sponsorship Level=Level 3@250; Sponsorship Level=Level 4@500,Name for Donation*,,https://www.mbmapg.org/product-page/staff-teacher-appreciation-week,2025-05-14T22:47:55.279Z,staff-teacher-appreciation-week.png | staff-teacher-appreciation-week-2.png | staff-teacher-appreciation-week-3.png | staff-teacher-appreciation-week-4.png | staff-teacher-appreciation-week-5.png,"https://static.wixstatic.com/media/ae91bf_0e93e23b10a6450ba1047de5d6a4df94~mv2.png/v1/fit/w_1545,h_2000,q_90/file.png | https://static.wixstatic.com/media/ae91bf_a7e83dedb1974b7dbbb76a06abd19e19~mv2.png/v1/fit/w_500,h_500,q_90/file.png | https://static.wixstatic.com/media/ae91bf_c4f03c4badfb473c8e1b980a4f8da1d9~mv2.png/v1/fit/w_500,h_500,q_90/file.png | https://static.wixstatic.com/media/ae91bf_a42c68758acd42a29845b0835c3a6651~mv2.png/v1/fit/w_500,h_500,q_90/file.png | https://static.wixstatic.com/media/ae91bf_c570b6c559384a439815af189443876f~mv2.png/v1/fit/w_500,h_500,q_90/file.png"
